id_prod;date;session_id;client_id;price;categ;sex;age;year;month;day;range_age
0_1277;2022-06-18 15:44:33;s_225667;c_6714;7.99;0;f;57;2022;6;18;54-58
1_661;2022-09-13 10:18:02;s_267366;c_6714;22.99;1;f;57;2022;9;13;54-58
0_1340;2021-10-13 16:03:24;s_104247;c_6714;14.76;0;f;57;2021;10;13;54-58
1_446;2022-02-04 14:53:30;s_159894;c_6714;23.92;1;f;57;2022;2;4;54-58
1_445;2022-08-24 05:38:17;s_257657;c_6714;23.99;1;f;57;2022;8;24;54-58
0_1432;2021-05-13 13:24:59;s_33987;c_6714;15.36;0;f;57;2021;5;13;54-58
1_630;2022-02-17 01:43:24;s_166356;c_6714;10.75;1;f;57;2022;2;17;54-58
0_1067;2021-04-15 20:44:44;s_21079;c_6714;12.99;0;f;57;2021;4;15;54-58
1_563;2022-11-05 07:39:00;s_292952;c_6714;5.99;1;f;57;2022;11;5;54-58
1_563;2023-01-10 12:23:24;s_324821;c_6714;5.99;1;f;57;2023;1;10;54-58
1_456;2022-12-09 18:38:59;s_309589;c_6714;28.27;1;f;57;2022;12;9;54-58
0_1246;2022-12-15 02:07:37;s_312221;c_6714;7.01;0;f;57;2022;12;15;54-58
0_1039;2021-05-29 23:36:05;s_41416;c_6714;11.99;0;f;57;2021;5;29;54-58
0_1403;2022-06-17 22:56:30;s_225346;c_6714;15.99;0;f;57;2022;6;17;54-58
1_308;2022-04-15 16:21:52;s_194490;c_6714;11.65;1;f;57;2022;4;15;54-58
0_2100;2022-03-15 22:16:07;s_179673;c_6714;6.66;0;f;57;2022;3;15;54-58
1_451;2021-08-12 23:01:41;s_74914;c_6714;20.99;1;f;57;2021;8;12;54-58
0_2076;2021-12-24 08:34:23;s_139181;c_6714;11.39;0;f;57;2021;12;24;54-58
0_1383;2023-01-02 05:12:52;s_320752;c_6714;12.99;0;f;57;2023;1;2;54-58
1_449;2022-02-19 00:03:17;s_167335;c_6714;14.99;1;f;57;2022;2;19;54-58
0_1132;2021-03-21 08:49:19;s_9376;c_6714;11.33;0;f;57;2021;3;21;54-58
0_1435;2022-10-30 01:13:07;s_289949;c_6714;13.99;0;f;57;2022;10;30;54-58
